Key,en,es,ar
Home,Home,Hogar,بيت
About Us,About Us,Sobre nosotros,معلومات عنا
How It Work,How It Work,Como funciona,كيف تعمل
Web Journal,Web Journal,Diario web,مجلة الويب
Contact Us,Contact Us,Contáctenos,اتصل بنا
Dashboard,Dashboard,Panel,لوحة القيادة
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
You send exactly,You send exactly,Envías exactamente,ترسل بالضبط
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Amount will convert,Amount will convert,La cantidad se convertirá,سيتم تحويل المبلغ
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Recipient gets,Recipient gets,El destinatario obtiene,المستلم يحصل
Receive Method,Receive Method,Método de recibir,استلام الطريقة
Send Now,Send Now,Enviar ahora,ارسل الان
Join Today,Join Today,Únete hoy,انضم اليوم
Get Started,Get Started,Empezar,البدء
Google Play,Google Play,Google Play,تطبيقات جوجل
App Store,App Store,Tienda de aplicaciones,متجر التطبيقات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Subscribe,Subscribe,Suscribir,يشترك
Copyright,Copyright,Derechos de autor,حقوق النشر
All Right Reserved,All Right Reserved,Todos los derechos reservados,جميع الحقوق محفوظة
Language switch to English,Language switch to English,El idioma cambia al inglés,تحول اللغة إلى اللغة الإنجليزية
Language switch to Spanish,Language switch to Spanish,El idioma cambia al español,تحول اللغة إلى الإسبانية
Language switch to Arabic,Language switch to Arabic,El idioma cambia al árabe,تحول اللغة إلى اللغة العربية
Follow us,Follow us,Síganos,تابعنا
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Address,Address,DIRECCIÓN,عنوان
Contact,Contact,Contacto,اتصال
Hours of Operation,Hours of Operation,Horas de operación,ساعات العملية
Name,Name,Nombre,اسم
Email,Email,Correo electrónico,بريد إلكتروني
Subject,Subject,Sujeto,موضوع
Message,Message,Mensaje,رسالة
Send Message,Send Message,Enviar mensaje,أرسل رسالة
Contact Request successfully send!,Contact Request successfully send!,¡Contacto Solicitud de contacto con éxito!,طلب الاتصال بنجاح إرسال!
Subscription successful!,Subscription successful!,Suscripción exitosa!,اشتراك ناجح!
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك
Enter Your Email,Enter Your Email,Introduce tu correo electrónico,أدخل بريدك الإلكتروني
Enter Your Password,Enter Your Password,Ingresa tu contraseña,ادخل رقمك السري
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Sign In,Sign In,Iniciar sesión,تسجيل الدخول
Don t have an account?,Don t have an account?,¿No tienes una cuenta?,ليس لديك حساب؟
Login,Login,Acceso,تسجيل الدخول
Sign Up,Sign Up,Inscribirse,اشتراك
Enter your email and we ll send you a otp to reset your password.,Enter your email and we ll send you a otp to reset your password.,Ingrese su correo electrónico y le enviaremos un OTP para restablecer su contraseña.,أدخل بريدك الإلكتروني ونرسل لك OTP لإعادة تعيين كلمة المرور الخاصة بك.
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Varification code sended to your email address.,Varification code sended to your email address.,Código de varificación enviado a su dirección de correo electrónico.,تم إرسال رمز التباين إلى عنوان بريدك الإلكتروني.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,أرسلنا رمزًا مكون من 6 أرقام هنا
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
Submit,Submit,Entregar,يُقدِّم
Didn t get the code?,Didn t get the code?,¿No obtuvo el código?,هل لم تحصل على الرمز؟
Resend,Resend,Revender,إعادة إرسال
Varification code resend success!,Varification code resend success!,¡El código de varificación reenvía el éxito!,رمز التباين إعادة تقديم النجاح!
Please Enter your new password and get login access on your Dashboard.,Please Enter your new password and get login access on your Dashboard.,Ingrese su nueva contraseña y obtenga acceso de inicio de sesión en su tablero.,الرجاء إدخال كلمة المرور الجديدة والوصول إلى تسجيل الدخول على لوحة القيادة الخاصة بك.
Set New Password,Set New Password,Establecer una nueva contraseña,اضبط كلمة مرور جديدة
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Confirm,Confirm,Confirmar,يتأكد
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع
Terms Of Use & Privacy,Terms Of Use & Privacy,Términos de uso y privacidad,شروط الاستخدام والخصوصية
Password,Password,Contraseña,كلمة المرور
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Verifique su dirección de correo. Verifique su bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الخاص بك للحصول على رمز التحقق
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,الحساب تم التحقق منه بنجاح
Send Remittance,Send Remittance,Enviar remesas,إرسال التحويلات
Transactions,Transactions,Actas,المعاملات
Recipients,Recipients,Receptores,المستلمين
KYC,KYC,Kyc,اعرف عميلك
2FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل خروج
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Total Send Remittance,Total Send Remittance,Remesas de envío total,إجمالي إرسال التحويلات
Total Remittance,Total Remittance,Remesas totales,التحويلات الكلية
